범죄분류,단독범,학교동창,교도소_소년원동료,직장동료,친인척,군동료,동네친구,고향친구,애인,기타,미상
절도,5726,5287,134,19,109,0,6648,313,184,1243,345
장물,286,56,0,0,0,0,67,4,2,21,7
사기,3972,385,28,10,17,0,864,84,80,384,401
횡령,955,190,0,3,1,0,166,9,18,41,41
배임,0,0,0,0,0,0,0,0,0,0,1
손괴,739,61,0,1,2,0,100,5,4,17,26
살인,9,2,0,0,2,0,1,0,2,1,1
강도,32,35,3,0,3,0,121,5,7,28,10
방화,45,21,0,0,0,0,44,1,3,3,1
성폭력,2539,207,0,4,2,0,193,21,4,43,70
폭행,6716,1441,7,11,49,0,1714,81,52,432,1014
상해,2596,1435,7,10,40,0,1707,87,38,408,191
협박,344,87,0,0,1,0,59,5,3,14,113
공갈,697,261,2,5,5,0,439,6,8,102,72
약취와유인,9,0,0,0,1,0,10,3,0,0,0
체포와감금,39,45,0,0,1,0,78,0,3,40,34
"폭력행위등(손괴,강요,주거침입등)",11,198,0,0,3,0,178,2,4,55,24
폭력행위등(단체등의구성·활동),7,9,0,0,0,0,14,3,0,12,1
통화,8,2,0,0,1,0,4,0,0,5,0
유가증권·인지·우표,2,0,0,0,0,0,0,0,0,1,1
문서,1184,189,6,0,4,0,212,10,3,88,60
인장,11,0,0,0,0,0,1,0,0,1,1
직무유기,0,0,0,0,0,0,0,0,0,0,3
직권남용,0,0,0,0,0,0,0,0,0,0,1
도박과복표,55,9,0,0,0,0,11,0,0,7,4
기타음란행위,72,0,0,0,0,0,0,0,1,0,3
과실치사상,63,4,0,0,0,0,0,0,0,0,3
업무상과실치사상,4,0,0,3,0,0,1,0,0,1,0
실화,39,17,0,0,0,0,11,0,0,5,1
명예,1052,69,0,0,3,0,43,3,1,47,299
권리행사방해,61,19,1,0,1,0,4,9,0,3,11
신용업무경매,88,6,0,1,0,0,22,0,1,7,12
주거침입,194,75,0,0,1,0,113,5,3,16,28
비밀침해,1,0,0,0,0,0,0,0,0,0,0
유기,3,0,0,0,0,0,0,0,4,2,0
공무방해,213,5,0,0,2,0,31,1,1,3,3
도주와범인은닉,20,3,0,1,0,0,4,1,0,2,1
위증과증거인멸,5,0,0,0,0,0,0,0,0,0,14
무고,30,1,0,0,0,0,0,0,0,2,21
공안을해하는죄,0,0,0,0,0,0,6,0,0,0,1
기타,2,0,0,0,0,0,0,0,0,0,0
개발제한구역의지정및관리에관한특별조치법,0,0,0,0,0,0,0,0,0,0,1
개인정보보호법,3,4,0,0,0,0,2,0,0,0,1
게임산업진흥에관한법률,73,0,0,2,0,0,1,0,0,12,4
경범죄처벌법,51,5,0,0,1,0,5,2,0,2,1
공중위생관리법,3,0,0,1,0,0,0,0,0,0,3
공직선거법,8,0,0,0,0,0,1,1,0,0,0
교통사고처리특례법,2900,11,0,0,0,0,19,4,0,11,43
국민체육진흥법,3,2,0,0,0,0,1,0,0,0,0
근로기준법,1,0,0,0,0,0,0,0,0,1,1
근로자퇴직급여보장법,0,0,0,0,0,0,0,0,0,0,1
농수산물의원산지표시에관한법률,1,0,0,0,0,0,0,0,0,0,0
대기환경보전법,0,0,0,0,0,0,0,0,0,0,2
대부업등의등록및금융이용자보호에관한법률,2,1,0,0,0,0,0,0,0,3,1
도로교통법,5560,121,0,6,1,0,290,17,9,68,47
도로법,4,0,0,0,0,0,0,0,0,0,0
마약류관리에관한법률,19,8,0,1,0,0,4,0,2,3,6
물환경보전법,0,0,0,0,0,0,0,0,0,1,0
사행행위등규제및처벌특례법,0,0,0,0,0,0,0,0,0,1,0
상표법,4,0,0,0,0,0,0,0,0,1,0
성매매알선등행위의처벌에관한법률,133,8,0,1,0,0,12,2,4,77,24
식품위생법,7,0,0,0,0,0,1,0,0,3,1
아동·청소년의성보호에관한법률(성매수등),65,24,3,1,0,0,80,11,16,51,11
아동·청소년의성보호에관한법률(음란물등),92,13,0,0,0,0,0,0,0,2,1
아동복지법,43,2,0,0,2,0,0,0,2,1,0
여객자동차운수사업법,1,0,0,0,0,0,0,0,0,1,0
여신전문금융업법,37,20,0,0,0,0,28,2,1,9,2
의료법,9,0,0,0,0,0,1,1,0,2,1
자동차관리법,223,4,0,1,1,0,8,0,0,14,11
자동차손해배상보장법,545,3,0,0,0,0,6,2,0,3,9
저작권법,91,0,0,0,0,0,0,0,0,4,33
전자금융거래법,165,8,1,0,0,0,16,5,0,57,22
정보통신망이용촉진및정보보호등에관한법률,498,27,0,0,0,0,40,2,1,42,71
조세범처벌법,0,0,0,0,0,0,0,0,0,0,3
주민등록법,584,90,0,0,0,0,113,11,3,30,12
청소년보호법,594,67,0,14,1,1,76,3,2,81,15
출입국관리법,3,0,0,1,0,0,0,0,0,5,0
특가법(도주차량),115,4,0,0,0,0,3,0,0,4,6
풍속영업의규제에관한법률,0,0,0,1,0,0,0,0,0,0,0
학원의설립운영및과외교습에관한법률,1,0,0,0,0,0,0,0,0,0,0
기타특별법,293,51,0,1,1,0,138,9,2,41,36
