범죄분류,불취학,초등학교_재중,초등학교_중퇴,초등학교_졸업,중학교_재중,중학교_중퇴,중학교_졸업,고등학교_재중,고등학교_중퇴,고등학교_졸업,전문대학_재중,전문대학_중퇴,전문대학_졸업,일반대학_재중,일반대학_중퇴,일반대학_졸업,대학원,기타,미상
절도,4,22,5,28,6125,503,433,5990,2358,560,68,3,1,157,5,0,0,0,879
장물,0,0,1,0,46,2,3,69,19,13,1,0,0,4,0,0,0,0,17
사기,2,4,3,13,843,245,324,2405,1899,734,65,7,3,152,9,0,0,0,1380
횡령,0,0,0,3,199,23,37,600,164,79,9,1,0,48,0,0,0,0,117
배임,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
손괴,1,1,1,0,191,27,42,343,171,97,17,2,0,41,0,0,0,0,190
살인,0,0,0,0,4,0,0,6,5,2,1,0,0,0,0,0,0,0,2
강도,0,1,0,0,69,24,13,107,99,33,3,2,0,5,0,0,0,0,10
방화,0,0,0,0,43,1,8,32,3,0,0,0,0,0,0,0,0,0,12
성폭력,0,1,0,0,596,22,24,1463,224,205,30,3,1,113,3,0,0,0,495
폭행,2,10,1,12,1466,169,213,2661,975,734,90,10,1,183,5,0,0,0,3607
상해,3,5,0,2,1119,70,114,1915,690,415,74,4,2,164,4,0,0,0,414
협박,0,0,0,0,154,12,10,231,100,49,7,0,0,4,2,0,0,0,285
공갈,0,3,1,1,413,70,50,594,352,65,10,1,0,15,1,0,0,0,174
약취와 유인,0,0,0,0,4,2,0,2,7,1,0,0,0,0,0,0,0,0,4
체포와 감금,0,0,0,0,41,5,9,58,51,22,2,0,0,3,1,0,0,0,61
"폭력행위등(손괴,강요,주거침입등)",0,0,0,0,187,15,12,173,72,16,2,0,1,3,0,0,0,0,61
폭력행위 등(단체 등의 구성ㆍ활동),0,1,0,0,16,3,1,30,3,6,0,0,0,0,0,0,0,0,9
통화,0,0,0,0,0,0,1,9,3,2,0,0,0,0,0,0,0,0,6
유가증권ㆍ인지ㆍ우표,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
문서,0,0,2,2,67,19,35,643,213,112,17,0,0,112,1,0,0,0,87
인장,0,0,0,0,0,1,0,6,4,1,0,0,0,1,0,0,0,0,4
직무유기,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
직권남용,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
수뢰,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
증뢰,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
도박과 복표,0,0,0,0,4,0,1,29,3,15,2,0,0,15,0,0,0,0,5
신앙,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
기타 음란행위,0,0,0,0,21,0,1,53,9,9,1,0,0,11,0,0,0,0,13
과실치사상,0,0,0,0,8,0,1,17,4,2,1,0,0,3,0,0,0,0,22
업무상 과실치사상,0,0,0,0,0,0,0,2,0,1,0,0,0,1,0,0,0,0,0
실화,0,1,0,0,22,1,2,25,3,1,0,0,0,2,0,0,0,0,12
명예,0,1,0,2,184,8,21,311,58,61,8,0,1,45,1,0,0,0,692
권리행사 방해,0,0,0,0,36,1,1,53,15,5,4,0,0,1,0,0,0,0,31
신용업무 경매,0,0,0,0,17,1,3,50,34,24,11,0,0,13,0,0,0,0,61
주거 침입,0,1,0,0,190,14,18,204,64,34,1,0,1,17,1,0,0,0,137
비밀침해,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
유기,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
교통방해,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
공무방해,0,0,0,0,7,4,4,64,53,31,2,0,0,14,0,0,0,0,12
도주와 범인 은닉,0,0,0,0,0,0,2,12,6,3,0,0,0,0,0,0,0,0,4
위증과 증거인멸,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,10
무고,0,0,0,0,4,0,0,8,3,2,0,0,0,0,0,0,0,0,42
공안을 해하는 죄,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
내란의 죄,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
음용수에 관한 죄,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
일수와 수리에 관한 죄,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
기타,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
개발제한구역의 지정 및 관리에 관한 특별조치법,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
개인정보보호법,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1
건축법,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
게임산업진흥에관한법률,0,0,0,0,1,0,0,17,9,14,1,0,0,13,0,0,0,0,28
경범죄처벌법,0,1,0,0,10,2,3,24,17,7,2,0,0,2,1,0,0,0,16
공유재산및물품관리법,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
공인중개사법,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
공중위생관리법,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
공직선거법,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
교통사고 처리특례법,0,0,1,0,110,16,59,751,280,178,13,0,0,55,3,0,0,0,804
국민체육진흥법,0,0,0,0,0,0,0,6,1,6,0,1,0,3,0,0,0,0,0
국토의계획및이용에관한법률,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
근로기준법,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
근로자퇴직급여보장법,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
농수산물의원산지표시에관한법률,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
농지법,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
대기환경보전법,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
대부업등의등록및금융이용자보호에관한법률,0,0,0,0,0,0,3,6,5,5,0,0,0,1,0,0,0,0,3
도로교통법,2,2,1,2,664,70,145,2265,786,308,45,0,0,89,3,0,0,0,281
도로법,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
마약류관리에 관한 법률,0,0,0,0,0,4,12,11,14,23,0,0,0,5,0,0,0,0,16
물환경보전법,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
병역법,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
부정경쟁방지 및 영업비밀보호에 관한법률,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
부정수표단속법,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0
사행행위등규제및처벌특례법,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
산림자원의조성및관리에관한법률,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
산업안전보건법,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
산지관리법,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
상표법,0,0,0,0,1,0,0,3,1,0,0,0,0,0,0,0,0,0,2
선박안전법,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
선박직원법,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
성매매알선등행위의처벌에관한법률,0,0,0,2,12,3,10,17,14,17,5,0,2,4,0,0,0,0,20
수산업법,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
수산자원관리법,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
식품위생법,0,0,0,0,0,0,0,1,2,3,0,0,0,0,0,0,0,0,3
아동·청소년의성보호에관한법률(성매수등),0,0,1,0,34,5,9,41,45,14,1,0,0,0,1,0,0,0,23
아동·청소년의성보호에관한법률(음란물등),0,0,0,0,36,1,1,63,3,10,0,0,0,3,0,0,0,0,18
아동복지법,0,0,0,0,20,0,1,40,9,11,3,0,0,4,0,0,0,0,13
여객자동차운수사업법,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,3
여신전문금융업법,0,0,0,0,27,5,5,28,18,7,1,0,0,0,0,0,0,0,11
예비군법,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
외국환거래법,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
의료법,0,0,0,0,3,0,2,0,2,4,0,0,0,1,0,0,0,0,0
자동차관리법,0,1,0,0,1,4,18,136,104,43,0,1,0,5,1,0,0,0,57
자동차손해배상보장법,0,0,0,0,5,2,16,143,58,7,5,0,0,8,0,0,0,0,33
저작권법,0,0,0,0,1,0,0,9,0,2,0,0,0,2,0,0,0,0,29
전자금융거래법,0,0,0,0,3,3,9,129,35,48,9,1,0,28,0,0,0,0,46
정보통신망이용촉진 및 정보보호 등에 관한법률,0,0,0,0,96,6,4,206,35,32,8,0,0,25,0,0,0,0,222
조세범 처벌법,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
주민등록법,0,0,0,0,74,17,32,540,193,61,9,1,0,51,0,0,0,0,43
청소년보호법,0,0,0,0,31,8,14,317,106,41,13,1,0,47,0,0,0,0,95
축산물위생관리법,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
출입국관리법,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,4
통신비밀보호법,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
특가법(도주차량),0,0,0,0,0,0,0,1,3,2,0,0,0,0,0,0,0,0,1
폐기물관리법,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
풍속영업의 규제에 관한법률,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
학원의설립운영및과외교습에관한법률,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
화물자동차운수사업법,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
기타 특별법,0,1,0,1,80,6,21,159,87,49,9,0,0,20,1,0,0,0,84
