범죄분류,생활비마련,유흥비마련,도박비마련,허영사치심,치부,이욕_기타,사행심,신고_고소,보복_기타,가정불화,호기심,유혹,우발적,현실불만,부주의,기타,미상
절도,1343,992,9,75,11,3315,395,0,0,14,3482,572,5356,53,165,3648,578
장물,30,11,0,0,0,92,22,0,0,0,57,7,68,1,18,116,21
사기,1176,566,67,20,6,1096,153,0,0,0,142,73,384,8,150,1380,1004
횡령,35,13,0,0,1,223,24,0,1,0,224,34,386,1,39,357,86
배임,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
손괴,0,0,0,0,0,1,0,0,1,24,64,1,456,26,52,223,107
살인,0,0,0,0,0,1,0,1,0,0,0,0,6,1,0,7,2
강도,44,25,3,0,0,44,0,0,0,0,4,4,53,0,0,55,12
방화,0,0,0,0,0,0,0,0,0,0,57,0,36,4,2,18,1
성폭력,9,12,0,0,0,65,2,0,0,0,933,100,817,10,49,767,319
폭행,14,13,0,0,2,41,17,1,4,162,61,9,5089,120,150,2636,3198
상해,3,8,0,2,2,19,3,3,10,28,49,12,3820,99,51,2113,297
협박,0,2,1,0,0,5,0,1,4,20,11,4,225,15,10,146,182
공갈,106,184,7,1,0,242,34,0,4,0,48,15,345,10,25,453,123
약취와 유인,2,0,0,0,0,5,0,0,0,0,1,0,9,0,0,5,1
체포와 감금,1,0,0,0,0,18,0,2,0,2,5,1,75,7,3,88,38
"폭력행위등(손괴,강요,주거침입등)",6,2,0,0,0,6,0,0,0,0,81,3,166,3,26,157,25
"폭력행위 등(단체 등의 구성,활동)",0,0,0,0,0,3,0,0,0,0,4,0,15,0,0,22,2
통화,2,2,0,0,0,4,0,0,0,0,1,1,4,0,0,4,2
"유가증권,인지,우표",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,1
문서,8,3,0,8,0,54,25,0,0,0,517,64,233,7,60,662,115
인장,0,0,0,0,0,0,0,0,0,0,1,0,3,0,1,7,2
직무유기,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
직권남용,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
도박과 복표,1,0,1,0,0,10,25,0,0,0,23,0,2,0,2,16,6
기타 음란행위,0,0,0,0,0,3,0,0,0,0,22,1,22,0,0,19,9
과실치사상,0,0,0,0,0,0,0,0,0,0,0,0,13,0,25,6,26
