범죄분류,농림수산업,제조업,건설업,도소매업,요식업,유흥업,의료보건업,차량정비업,노점,기타 사업,사무원,기술자,점원,공원,운전자,경비원,외판원,일반회사원,금융기관직원,유흥업종사자,요식업종사자,일용노동자,기타 피고용자,예술인,기타 전문직,학생,주부,전경_의경,공익요원,무직자,미상
절도,0,1,0,2,1,2,0,0,0,20,0,5,11,3,0,0,2,47,0,3,13,17,286,3,8,16185,0,0,0,3056,343
장물,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,7,0,0,348,0,0,0,77,5
사기,0,1,0,1,0,2,0,0,0,18,1,5,16,1,2,0,4,51,0,2,9,14,182,1,10,4211,1,0,0,1534,159
횡령,0,0,0,0,1,0,0,0,0,4,0,0,3,1,0,0,1,8,0,0,2,2,36,0,1,1101,0,0,0,228,36
배임,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
손괴,0,0,0,0,0,0,0,0,0,4,0,0,1,1,0,0,0,13,0,0,2,4,26,0,0,669,0,0,0,211,24
살인,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,4,1
강도,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6,0,0,125,0,0,0,106,6
방화,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,101,0,0,0,15,0
성폭력,0,0,0,0,0,0,0,0,0,6,0,0,4,0,0,0,2,26,0,1,2,5,43,1,4,2632,0,0,0,298,59
폭행,2,0,4,2,4,4,1,1,0,62,0,2,16,7,2,3,7,172,1,3,22,25,425,1,20,8111,2,0,1,2281,336
상해,0,1,1,0,1,0,0,1,0,21,2,8,4,0,0,1,6,60,0,1,7,12,171,0,8,4965,0,0,0,1143,106
협박,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,8,0,0,1,1,17,1,2,470,0,0,0,117,6
공갈,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,7,0,0,0,1,27,0,0,1258,0,0,0,272,30
약취와유인,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,11,0,0,0,11,0
체포와감금,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,12,0,0,149,0,0,0,65,11
"폭력행위등(손괴,강요,주거침입등)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,1,10,0,0,381,0,0,0,67,12
폭력행위등 (단체등의구성·활동）,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,31,0,0,0,14,0
통화,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,5,0
유가증권·인지·우표,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1
문서,0,0,0,0,0,0,0,0,0,7,0,0,4,0,0,0,1,20,0,2,1,5,37,0,8,1321,0,0,0,288,62
인장,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,2,1
직무유기,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
직권남용,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
도박과복표,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,62,0,0,0,15,5
기타음란행위,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,68,0,0,0,3,4
과실치사상,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,64,0,0,0,3,2
업무상과실치사상,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,5,0,0,0,2,0
실화,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,62,0,0,0,6,1
명예,0,0,0,0,0,0,0,0,1,4,1,0,3,0,0,0,2,11,0,0,3,2,29,0,0,1258,2,0,0,128,73
권리행사방해,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89,0,0,0,17,2
신용업무경매,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,6,0,0,79,0,0,0,40,8
주거침입,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,6,0,0,0,0,13,1,0,320,0,0,0,84,8
비밀침해,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
유기,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,2,1
공무방해,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,11,0,0,1,2,12,0,1,130,0,0,0,88,10
도주와범인은닉,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,22,0,0,0,5,1
위증과증거인멸,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6,0,0,0,11,1
