범죄분류,구공판_구속,구공판_불구속,구약식,소년보호송치,가정보호송치,아동보호송치,기소유예,혐의없음,죄가안됨,공소권없음,기소중지,참고인중지
절도,269,933,188,7241,0,1,7426,756,20,106,41,2
장물,0,18,8,125,0,0,167,27,0,1,1,0
사기,115,466,357,1933,0,0,1163,782,1,38,60,12
횡령,2,27,36,272,0,0,583,62,1,4,9,0
손괴,1,9,46,255,16,0,353,146,3,12,3,1
살인,6,1,0,2,0,0,1,1,0,0,0,0
강도,46,31,3,74,0,0,18,4,0,1,5,1
방화,2,7,1,33,0,0,48,10,0,0,1,0
성폭력,141,281,49,1072,1,0,677,500,10,14,19,2
폭행,14,141,336,1743,90,0,1340,648,34,4157,22,1
상해,34,266,349,2117,16,0,1825,317,20,125,20,2
협박,2,13,10,138,12,0,68,108,2,98,2,1
공갈,13,75,37,799,0,0,216,151,2,10,7,1
약취와유인,6,2,0,8,0,0,1,2,0,0,0,0
체포와감금,10,12,2,57,1,0,19,42,0,0,0,2
"폭력행위등(손괴,강요,주거침입등)",2,4,11,138,0,0,191,32,2,1,5,0
"폭력행위등(단체등의구성,활동)",0,9,2,6,0,0,4,4,0,0,1,1
통화,3,4,0,4,0,0,2,2,0,3,0,0
유가증권·인지·우표,1,0,0,0,0,0,0,0,0,1,0,0
문서,1,27,28,349,0,0,534,72,0,3,3,2
인장,0,2,0,2,0,0,4,1,0,0,0,0
직무유기,0,0,0,0,0,0,0,3,0,0,0,0
직권남용,0,0,0,0,0,0,0,1,0,0,0,0
도박과복표,0,3,5,19,0,0,53,3,1,0,1,0
기타음란행위,0,2,1,29,0,0,31,9,2,0,0,0
과실치사상,0,0,2,2,0,0,3,8,0,36,1,0
업무상과실치사상,0,1,1,0,0,0,3,0,1,0,0,0
실화,0,0,0,15,0,0,43,5,0,0,0,0
명예,0,3,48,107,0,0,210,125,4,324,3,0
권리행사방해,1,5,3,41,0,0,25,15,1,0,0,0
신용업무경매,1,4,11,26,0,0,36,15,1,5,0,0
주거침입,1,7,9,108,0,0,181,47,3,4,3,0
유기,0,0,0,1,0,0,1,0,0,0,0,0
공무방해,5,40,8,109,0,0,30,12,1,3,0,0
도주와범인은닉,1,3,3,11,0,0,9,1,1,0,0,0
위증과증거인멸,0,5,3,1,0,0,0,2,0,0,0,0
무고,0,2,1,1,0,0,1,11,0,0,4,0
공안을해하는죄,1,0,0,4,0,0,0,1,0,0,0,0
기타,0,1,0,0,0,0,1,0,0,0,0,0
개발제한구역의 지정 및 관리에 관한 특별조치법,0,0,0,0,0,0,0,1,0,0,0,0
개인정보보호법,0,1,0,1,0,0,5,0,0,0,0,0
게임산업진흥에관한법률,0,0,1,4,0,0,53,8,2,0,0,0
경범죄처벌법,0,1,9,17,0,0,18,3,0,1,0,0
공중위생관리법,0,0,0,1,0,0,0,0,0,0,0,0
공직선거법,0,4,0,0,0,0,6,0,0,0,0,0
교통사고 처리특례법,3,69,187,669,0,0,685,64,3,1189,12,0
국민체육진흥법,0,0,0,1,0,0,5,0,0,0,0,0
근로기준법,0,0,1,0,0,0,1,0,0,1,0,0
근로자퇴직급여보장법,0,0,1,0,0,0,0,0,0,0,0,0
농수산물의원산지표시에관한법률,0,0,0,0,0,0,1,0,0,0,0,0
대부업등의등록및금융이용자보호에관한법률,0,0,0,3,0,0,2,1,0,0,0,0
도로교통법,5,80,488,2075,0,0,2676,303,1,201,31,0
도로법,0,0,0,1,0,0,1,0,0,0,0,0
마약류관리에 관한 법률,0,1,0,0,0,0,20,0,0,0,1,0
물환경보전법,0,0,0,0,0,0,1,0,0,0,0,0
사행행위등규제및처벌특례법,0,0,0,0,0,0,1,0,0,0,0,0
상표법,0,0,0,2,0,0,2,0,0,0,0,0
성매매알선등행위의처벌에관한법률,2,3,1,7,0,0,22,4,0,0,0,0
식품위생법,0,0,0,1,0,0,3,0,0,0,0,0
"아동,청소년의성보호에관한법률(성매수등)",11,43,0,54,0,0,1,9,0,2,2,0
"아동,청소년의성보호에관한법률(음란물등)",1,0,0,27,0,0,64,4,1,1,0,0
아동복지법,0,3,1,13,0,1,13,1,0,2,0,0
여객자동차운수사업법,0,0,0,0,0,0,0,1,0,0,0,0
여신전문금융업법,1,1,2,21,0,0,34,2,0,0,1,0
의료법,0,0,1,3,0,0,3,1,0,0,0,0
자동차관리법,0,2,23,81,0,0,109,37,0,0,2,0
자동차손해배상보장법,0,5,49,183,0,0,259,37,0,19,4,0
저작권법,0,0,1,1,0,0,22,19,1,34,0,0
전자금융거래법,11,27,8,59,0,0,66,36,0,5,1,0
정보통신망이용촉진및정보보호등에관한법률,3,6,11,105,0,0,138,54,0,72,2,0
주민등록법,0,3,16,132,0,0,232,19,0,4,1,0
청소년보호법,0,2,8,60,0,0,295,41,0,9,0,0
출입국관리법,1,1,0,0,0,0,2,0,0,0,0,0
특가법(도주차량),2,24,6,58,0,0,17,9,0,7,1,0
학원의설립운영및과외교습에관한법률,0,0,0,0,0,0,0,1,0,0,0,0
기타특별법,10,41,12,157,0,0,84,56,3,13,0,1
